,id,text,character,conversation_id,reply_to,clean_text,tokenize,tokenize_lemmatized,final_text,prediction
9,L592858,"You never think to protect yourself with real friends.  You think it's enough to be an American.  All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship.  And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money.",DON CORLEONE,L592858,,think protect real friends think american right police protects courts law dont need friend like come corleone justice dont ask respect friendship dont think godfather instead come house day daughter married ask murderfor money,"['think', 'protect', 'real', 'friends', 'think', 'american', 'right', 'police', 'protects', 'courts', 'law', 'dont', 'need', 'friend', 'like', 'come', 'corleone', 'justice', 'dont', 'ask', 'respect', 'friendship', 'dont', 'think', 'godfather', 'instead', 'come', 'house', 'day', 'daughter', 'married', 'ask', 'murderfor', 'money']","['think', 'protect', 'real', 'friend', 'think', 'american', 'right', 'police', 'protects', 'court', 'law', 'dont', 'need', 'friend', 'like', 'come', 'corleone', 'justice', 'dont', 'ask', 'respect', 'friendship', 'dont', 'think', 'godfather', 'instead', 'come', 'house', 'day', 'daughter', 'married', 'ask', 'murderfor', 'money']",think protect real friend think american right police protects court law dont need friend like come corleone justice dont ask respect friendship dont think godfather instead come house day daughter married ask murderfor money,anger
346,L593596,I have to go back to New York tomorrow.  Think of your price.,MICHAEL,L593596,,new york tomorrow think price,"['new', 'york', 'tomorrow', 'think', 'price']","['new', 'york', 'tomorrow', 'think', 'price']",new york tomorrow think price,fear
148,L593462,Don Tommassino.,MICHAEL,L593462,,tommassino,['tommassino'],['tommassino'],tommassino,fear
113,L593552,A man has to choose what he will be. I believe that.,MICHAEL,L593541,L593551,man choose believe,"['man', 'choose', 'believe']","['man', 'choose', 'believe']",man choose believe,fear
39,L593093,"Where the hell was Paulie, why wasn't he with the Don?",SONNY,L593090,L593092,hell paulie wasnt,"['hell', 'paulie', 'wasnt']","['hell', 'paulie', 'wasnt']",hell paulie wasnt,fear
22,L593327,We gotta move...,CLEMENZA,L593324,L593326,gotta,['gotta'],['gotta'],gotta,fear
350,L593587,You're unlucky.,MICHAEL,L593584,L593586,youre unlucky,"['youre', 'unlucky']","['youre', 'unlucky']",youre unlucky,joy
94,L592941,"Two terms; one in Italy, one in the United States.  He's known to the Government as a top narcotics man. That could be a plus for us; he could never get immunity to testify.",HAGEN,L592939,L592940,terms italy united states hes known government narcotics man plus immunity testify,"['terms', 'italy', 'united', 'states', 'hes', 'known', 'government', 'narcotics', 'man', 'plus', 'immunity', 'testify']","['term', 'italy', 'united', 'state', 'he', 'known', 'government', 'narcotic', 'man', 'plus', 'immunity', 'testify']",term italy united state he known government narcotic man plus immunity testify,fear
90,L592946,It is Johnny.  He came all the way from California to be at the wedding.,DON CORLEONE,L592946,,johnny came way california wedding,"['johnny', 'came', 'way', 'california', 'wedding']","['johnny', 'came', 'way', 'california', 'wedding']",johnny came way california wedding,joy
180,L593294,"Come ON Sonny, your father wouldn't want to hear this.  This is not a personal thing, this is Business.",HAGEN,L593286,L593293,come sonny father wouldnt want hear personal thing business,"['come', 'sonny', 'father', 'wouldnt', 'want', 'hear', 'personal', 'thing', 'business']","['come', 'sonny', 'father', 'wouldnt', 'want', 'hear', 'personal', 'thing', 'business']",come sonny father wouldnt want hear personal thing business,fear
30,L593185,"Okay, now you can move your men into the Mall, replace Tessio's people.  Mike, tomorrow you take a couple of Clemenza's people and go to Luca's apartment and wait for him to show.  That crazy bastard might be going after Sollozzo right now if he's heard the news.",SONNY,L593183,L593184,okay men mall replace tessios people mike tomorrow couple clemenzas people lucas apartment wait crazy bastard going sollozzo right hes heard news,"['okay', 'men', 'mall', 'replace', 'tessios', 'people', 'mike', 'tomorrow', 'couple', 'clemenzas', 'people', 'lucas', 'apartment', 'wait', 'crazy', 'bastard', 'going', 'sollozzo', 'right', 'hes', 'heard', 'news']","['okay', 'men', 'mall', 'replace', 'tessios', 'people', 'mike', 'tomorrow', 'couple', 'clemenzas', 'people', 'lucas', 'apartment', 'wait', 'crazy', 'bastard', 'going', 'sollozzo', 'right', 'he', 'heard', 'news']",okay men mall replace tessios people mike tomorrow couple clemenzas people lucas apartment wait crazy bastard going sollozzo right he heard news,joy
305,L593253,"All right, get him in a different room; lock the door from the inside. I'll have some men there inside of fifteen minutes.  Sit tight, and don't panic.",SONNY,L593252,L593252,right different room lock door inside ill men inside minutes sit tight dont panic,"['right', 'different', 'room', 'lock', 'door', 'inside', 'ill', 'men', 'inside', 'minutes', 'sit', 'tight', 'dont', 'panic']","['right', 'different', 'room', 'lock', 'door', 'inside', 'ill', 'men', 'inside', 'minute', 'sit', 'tight', 'dont', 'panic']",right different room lock door inside ill men inside minute sit tight dont panic,fear
108,L593655,I'll need him.,MICHAEL,L593654,L593654,ill need,"['ill', 'need']","['ill', 'need']",ill need,fear
157,L593572,Get rid of them...,MICHAEL,L593568,L593571,rid,['rid'],['rid'],rid,fear
232,L593640,"Mike, why are you cutting me out of the action?",HAGEN,L593640,,mike cutting action,"['mike', 'cutting', 'action']","['mike', 'cutting', 'action']",mike cutting action,anger
55,L593175,"I tol' you to stay put, Paulie...",CLEMENZA,L593175,,tol stay paulie,"['tol', 'stay', 'paulie']","['tol', 'stay', 'paulie']",tol stay paulie,sadness
5,L593432,"I want you to use all your powers, all your skill, as you love me.  I do not want his mother to see him as he is.",DON CORLEONE,L593431,L593431,want use powers skill love want mother,"['want', 'use', 'powers', 'skill', 'love', 'want', 'mother']","['want', 'use', 'power', 'skill', 'love', 'want', 'mother']",want use power skill love want mother,anger
45,L593626,"He's going to be our lawyer in Vegas.  Nobody goes to him with any other business as of now, this minute.  No reflection on Tom; that's the way I want it.  Besides, if I ever need any advice, who's a better Consigliere than my father.",MICHAEL,L593626,,hes going lawyer vegas goes business minute reflection tom thats way want need advice whos better consigliere father,"['hes', 'going', 'lawyer', 'vegas', 'goes', 'business', 'minute', 'reflection', 'tom', 'thats', 'way', 'want', 'need', 'advice', 'whos', 'better', 'consigliere', 'father']","['he', 'going', 'lawyer', 'vega', 'go', 'business', 'minute', 'reflection', 'tom', 'thats', 'way', 'want', 'need', 'advice', 'who', 'better', 'consigliere', 'father']",he going lawyer vega go business minute reflection tom thats way want need advice who better consigliere father,sadness
341,L593687,"Yes, I promise.",MICHAEL,L593686,L593686,yes promise,"['yes', 'promise']","['yes', 'promise']",yes promise,fear
286,L592892,I told you I had a lot of relatives.,MICHAEL,L592891,L592891,told lot relatives,"['told', 'lot', 'relatives']","['told', 'lot', 'relative']",told lot relative,fear
237,L593047,Sure.  Anything I can do for you.,HAGEN,L593047,,sure,['sure'],['sure'],sure,fear
209,L593367,An accident.  No one was hurt.,HAGEN,L593366,L593366,accident hurt,"['accident', 'hurt']","['accident', 'hurt']",accident hurt,fear
78,L593437,But you needed a drink first.,DON CORLEONE,L593435,L593436,needed drink,"['needed', 'drink']","['needed', 'drink']",needed drink,fear
332,L593135,How's Mom?,MICHAEL,L593134,L593134,hows mom,"['hows', 'mom']","['hows', 'mom']",hows mom,fear
283,L592898,Because they know that no Sicilian will refuse a request on his daughter's wedding day.,MICHAEL,L592893,L592897,know sicilian refuse request daughters wedding day,"['know', 'sicilian', 'refuse', 'request', 'daughters', 'wedding', 'day']","['know', 'sicilian', 'refuse', 'request', 'daughter', 'wedding', 'day']",know sicilian refuse request daughter wedding day,fear
3,L593423,Good.  He never doubted you.,HAGEN,L593422,L593422,good doubted,"['good', 'doubted']","['good', 'doubted']",good doubted,fear
116,L593549,"Yes, but sons who would be professors, scientists, musicians...and grandchildren who could be, who knows, a Governor, a President even, nothing's impossible here in America.",DON CORLEONE,L593541,L593548,yes sons professors scientists musiciansand grandchildren knows governor president nothings impossible america,"['yes', 'sons', 'professors', 'scientists', 'musiciansand', 'grandchildren', 'knows', 'governor', 'president', 'nothings', 'impossible', 'america']","['yes', 'son', 'professor', 'scientist', 'musiciansand', 'grandchild', 'know', 'governor', 'president', 'nothing', 'impossible', 'america']",yes son professor scientist musiciansand grandchild know governor president nothing impossible america,fear
76,L593439,Now you've had your drink.,DON CORLEONE,L593435,L593438,youve drink,"['youve', 'drink']","['youve', 'drink']",youve drink,fear
284,L592896,"They're going to talk to my father, which means they're going to ask him for something, which means they better get it right.",MICHAEL,L592893,L592895,theyre going talk father means theyre going ask means better right,"['theyre', 'going', 'talk', 'father', 'means', 'theyre', 'going', 'ask', 'means', 'better', 'right']","['theyre', 'going', 'talk', 'father', 'mean', 'theyre', 'going', 'ask', 'mean', 'better', 'right']",theyre going talk father mean theyre going ask mean better right,anger
63,L592971,I'll make him an offer he can't refuse.,DON CORLEONE,L592969,L592970,ill offer cant refuse,"['ill', 'offer', 'cant', 'refuse']","['ill', 'offer', 'cant', 'refuse']",ill offer cant refuse,fear
46,L593620,"No, I don't want to give Barzini an excuse to start fighting.",MICHAEL,L593619,L593619,dont want barzini excuse start fighting,"['dont', 'want', 'barzini', 'excuse', 'start', 'fighting']","['dont', 'want', 'barzini', 'excuse', 'start', 'fighting']",dont want barzini excuse start fighting,fear
211,L593363,"Kay, we weren't expecting you.  You should call...",HAGEN,L593363,,kay werent expecting,"['kay', 'werent', 'expecting']","['kay', 'werent', 'expecting']",kay werent expecting,joy
77,L593438,Yes.,HAGEN,L593435,L593437,yes,['yes'],['yes'],yes,fear
72,L593459,Barzini.,DON CORLEONE,L593456,L593458,barzini,['barzini'],['barzini'],barzini,fear
84,L592975,"No, give him a living.  But never let him know the family's business. What else, Tom?",DON CORLEONE,L592973,L592974,living let know familys business tom,"['living', 'let', 'know', 'familys', 'business', 'tom']","['living', 'let', 'know', 'family', 'business', 'tom']",living let know family business tom,anger
347,L593594,You straightened my brother out?,MICHAEL,L593594,,straightened brother,"['straightened', 'brother']","['straightened', 'brother']",straightened brother,joy
199,L593164,"No, and I've been calling all night. Maybe he's shacked up.",SONNY,L593161,L593163,ive calling night maybe hes shacked,"['ive', 'calling', 'night', 'maybe', 'hes', 'shacked']","['ive', 'calling', 'night', 'maybe', 'he', 'shacked']",ive calling night maybe he shacked,fear
333,L593134,I was worried when we couldn't get in touch with you in that hick town.,SONNY,L593134,,worried couldnt touch hick town,"['worried', 'couldnt', 'touch', 'hick', 'town']","['worried', 'couldnt', 'touch', 'hick', 'town']",worried couldnt touch hick town,fear
93,L592942,When did he call?,DON CORLEONE,L592939,L592941,,[],[],,fear
198,L593165,"Luca never sleeps over with a broad. He always goes home when he's through.  Mike, keep ringing Luca's number.",HAGEN,L593161,L593164,luca sleeps broad goes home hes mike ringing lucas number,"['luca', 'sleeps', 'broad', 'goes', 'home', 'hes', 'mike', 'ringing', 'lucas', 'number']","['luca', 'sleep', 'broad', 'go', 'home', 'he', 'mike', 'ringing', 'lucas', 'number']",luca sleep broad go home he mike ringing lucas number,fear
197,L593167,"Tom, you're the Consigliere, what do we do if the old man dies?",SONNY,L593167,,tom youre consigliere old man dies,"['tom', 'youre', 'consigliere', 'old', 'man', 'dies']","['tom', 'youre', 'consigliere', 'old', 'man', 'dy']",tom youre consigliere old man dy,joy
289,L593251,You just stand here one minute...,MICHAEL,L593249,L593250,stand minute,"['stand', 'minute']","['stand', 'minute']",stand minute,fear
335,L593345,Most important...I want a sure guarantee that no more attempts will be made on my father's life.,MICHAEL,L593345,,importanti want sure guarantee attempts fathers life,"['importanti', 'want', 'sure', 'guarantee', 'attempts', 'fathers', 'life']","['importanti', 'want', 'sure', 'guarantee', 'attempt', 'father', 'life']",importanti want sure guarantee attempt father life,fear
231,L593641,"Tom, we're going to be legitimate all the way, and you're the legal man.  What could be more important than that.",MICHAEL,L593640,L593640,tom going legitimate way youre legal man important,"['tom', 'going', 'legitimate', 'way', 'youre', 'legal', 'man', 'important']","['tom', 'going', 'legitimate', 'way', 'youre', 'legal', 'man', 'important']",tom going legitimate way youre legal man important,fear
75,L593456,When I meet with Tattaglia's people; should I insist that all his drug middle-men be clean?,HAGEN,L593456,,meet tattaglias people insist drug middlemen clean,"['meet', 'tattaglias', 'people', 'insist', 'drug', 'middlemen', 'clean']","['meet', 'tattaglias', 'people', 'insist', 'drug', 'middleman', 'clean']",meet tattaglias people insist drug middleman clean,fear
194,L593170,I was as good a son to him as you or Mike.,HAGEN,L593167,L593169,good son mike,"['good', 'son', 'mike']","['good', 'son', 'mike']",good son mike,fear
317,L593150,"Then wait, Sonny.  Talk to Pop.",MICHAEL,L593148,L593149,wait sonny talk pop,"['wait', 'sonny', 'talk', 'pop']","['wait', 'sonny', 'talk', 'pop']",wait sonny talk pop,anger
16,L593722,"Don't be frightened.  Do you think I'd make my sister a widow?  Do you think I'd make your children fatherless?  After all, I'm Godfather to your son.  No, your punishment is that you're out of the family business.  I'm putting you on a plane to Vegas--and I want you to stay there.  I'll send Connie an allowance, that's all. But don't keep saying you're innocent; it insults my intelligence and makes me angry.  Who approached you, Tattaglia or Barzini?",MICHAEL,L593722,,dont frightened think id sister widow think id children fatherless im godfather son punishment youre family business im putting plane vegasand want stay ill send connie allowance thats dont saying youre innocent insults intelligence makes angry approached tattaglia barzini,"['dont', 'frightened', 'think', 'id', 'sister', 'widow', 'think', 'id', 'children', 'fatherless', 'im', 'godfather', 'son', 'punishment', 'youre', 'family', 'business', 'im', 'putting', 'plane', 'vegasand', 'want', 'stay', 'ill', 'send', 'connie', 'allowance', 'thats', 'dont', 'saying', 'youre', 'innocent', 'insults', 'intelligence', 'makes', 'angry', 'approached', 'tattaglia', 'barzini']","['dont', 'frightened', 'think', 'id', 'sister', 'widow', 'think', 'id', 'child', 'fatherless', 'im', 'godfather', 'son', 'punishment', 'youre', 'family', 'business', 'im', 'putting', 'plane', 'vegasand', 'want', 'stay', 'ill', 'send', 'connie', 'allowance', 'thats', 'dont', 'saying', 'youre', 'innocent', 'insult', 'intelligence', 'make', 'angry', 'approached', 'tattaglia', 'barzini']",dont frightened think id sister widow think id child fatherless im godfather son punishment youre family business im putting plane vegasand want stay ill send connie allowance thats dont saying youre innocent insult intelligence make angry approached tattaglia barzini,joy
66,L592965,"All right, Hollywood...Now tell me about this Hollywood Pezzonovanta who won't let you work.",DON CORLEONE,L592965,,right hollywoodnow tell hollywood pezzonovanta wont let work,"['right', 'hollywoodnow', 'tell', 'hollywood', 'pezzonovanta', 'wont', 'let', 'work']","['right', 'hollywoodnow', 'tell', 'hollywood', 'pezzonovanta', 'wont', 'let', 'work']",right hollywoodnow tell hollywood pezzonovanta wont let work,anger
132,L592984,For bravery.,MICHAEL,L592983,L592983,bravery,['bravery'],['bravery'],bravery,fear
7,L592862,Good.  From me you'll get Justice.,DON CORLEONE,L592861,L592861,good youll justice,"['good', 'youll', 'justice']","['good', 'youll', 'justice']",good youll justice,fear
192,L593172,We're all tired...,HAGEN,L593167,L593171,tired,['tired'],['tired'],tired,sadness
152,L593481,Yes.,MICHAEL,L593476,L593480,yes,['yes'],['yes'],yes,fear
318,L593149,Until the old man tells me different.,SONNY,L593148,L593148,old man tells different,"['old', 'man', 'tells', 'different']","['old', 'man', 'tell', 'different']",old man tell different,fear
314,L593153,"I know I'm not the man he was.  But I'll tell you this and he'll tell you too.  When it comes to real action, I can operate as good as anybody short range.",SONNY,L593148,L593152,know im man ill tell hell tell comes real action operate good anybody short range,"['know', 'im', 'man', 'ill', 'tell', 'hell', 'tell', 'comes', 'real', 'action', 'operate', 'good', 'anybody', 'short', 'range']","['know', 'im', 'man', 'ill', 'tell', 'hell', 'tell', 'come', 'real', 'action', 'operate', 'good', 'anybody', 'short', 'range']",know im man ill tell hell tell come real action operate good anybody short range,fear
173,L593321,No.  Our informer in McCluskey's precinct.  Tonight at 8:00 he signed out for Louis' Restaurant in the Bronx.  Anyone know it.,HAGEN,L593320,L593320,informer mccluskeys precinct tonight signed louis restaurant bronx know,"['informer', 'mccluskeys', 'precinct', 'tonight', 'signed', 'louis', 'restaurant', 'bronx', 'know']","['informer', 'mccluskeys', 'precinct', 'tonight', 'signed', 'louis', 'restaurant', 'bronx', 'know']",informer mccluskeys precinct tonight signed louis restaurant bronx know,fear
158,L593570,Give them some money and send them home.,MICHAEL,L593568,L593569,money send home,"['money', 'send', 'home']","['money', 'send', 'home']",money send home,fear
109,L593654,I see you have your Luca Brasi.,DON CORLEONE,L593654,,luca brasi,"['luca', 'brasi']","['luca', 'brasi']",luca brasi,fear
295,L593314,"What are you, inspecting the barracks?  You ready?  Did Clemenza tell you be sure to drop the gun right away?",SONNY,L593313,L593313,inspecting barracks ready clemenza tell sure drop gun right away,"['inspecting', 'barracks', 'ready', 'clemenza', 'tell', 'sure', 'drop', 'gun', 'right', 'away']","['inspecting', 'barrack', 'ready', 'clemenza', 'tell', 'sure', 'drop', 'gun', 'right', 'away']",inspecting barrack ready clemenza tell sure drop gun right away,anger
60,L593016,And what is the percentage of the Tattaglia family?,DON CORLEONE,L593011,L593015,percentage tattaglia family,"['percentage', 'tattaglia', 'family']","['percentage', 'tattaglia', 'family']",percentage tattaglia family,fear
114,L593551,"You are like me, we refuse to be fools, to be puppets dancing on a string pulled by other men.  I hoped the time for guns and killing and massacres was over.  That was my misfortune.  That was your misfortune.  I was hunted on the streets of Corleone when I was twelve years old because of who my father was.  I had no choice.",DON CORLEONE,L593541,L593550,like refuse fools puppets dancing string pulled men hoped time guns killing massacres misfortune misfortune hunted streets corleone years old father choice,"['like', 'refuse', 'fools', 'puppets', 'dancing', 'string', 'pulled', 'men', 'hoped', 'time', 'guns', 'killing', 'massacres', 'misfortune', 'misfortune', 'hunted', 'streets', 'corleone', 'years', 'old', 'father', 'choice']","['like', 'refuse', 'fool', 'puppet', 'dancing', 'string', 'pulled', 'men', 'hoped', 'time', 'gun', 'killing', 'massacre', 'misfortune', 'misfortune', 'hunted', 'street', 'corleone', 'year', 'old', 'father', 'choice']",like refuse fool puppet dancing string pulled men hoped time gun killing massacre misfortune misfortune hunted street corleone year old father choice,joy
258,L593214,Hello.  Kay?,MICHAEL,L593214,,hello kay,"['hello', 'kay']","['hello', 'kay']",hello kay,fear
110,L593644,How did you find out?,MICHAEL,L593643,L593643,find,['find'],['find'],find,joy
218,L593684,"A week from tonight.  In Brooklyn on Tessio's ground, where I'll be safe.",MICHAEL,L593678,L593683,week tonight brooklyn tessios ground ill safe,"['week', 'tonight', 'brooklyn', 'tessios', 'ground', 'ill', 'safe']","['week', 'tonight', 'brooklyn', 'tessios', 'ground', 'ill', 'safe']",week tonight brooklyn tessios ground ill safe,fear
229,L593645,Bookkeepers know everything. Rocco's men are all a little too good for the jobs they're supposed to be doing.  They get a little more money than the job's worth.  Lampone's a good man; he's operating perfectly.,HAGEN,L593645,,bookkeepers know roccos men little good jobs theyre supposed little money jobs worth lampones good man hes operating perfectly,"['bookkeepers', 'know', 'roccos', 'men', 'little', 'good', 'jobs', 'theyre', 'supposed', 'little', 'money', 'jobs', 'worth', 'lampones', 'good', 'man', 'hes', 'operating', 'perfectly']","['bookkeeper', 'know', 'roccos', 'men', 'little', 'good', 'job', 'theyre', 'supposed', 'little', 'money', 'job', 'worth', 'lampones', 'good', 'man', 'he', 'operating', 'perfectly']",bookkeeper know roccos men little good job theyre supposed little money job worth lampones good man he operating perfectly,anger
17,L593721,"Barzini is dead.  So is Philip Tattaglia, so are Strachi, Cuneo and Moe Greene...I want to square all the family accounts tonight. So don't tell me you're innocent; admit what you did.",MICHAEL,L593719,L593720,barzini dead philip tattaglia strachi cuneo moe greenei want square family accounts tonight dont tell youre innocent admit,"['barzini', 'dead', 'philip', 'tattaglia', 'strachi', 'cuneo', 'moe', 'greenei', 'want', 'square', 'family', 'accounts', 'tonight', 'dont', 'tell', 'youre', 'innocent', 'admit']","['barzini', 'dead', 'philip', 'tattaglia', 'strachi', 'cuneo', 'moe', 'greenei', 'want', 'square', 'family', 'account', 'tonight', 'dont', 'tell', 'youre', 'innocent', 'admit']",barzini dead philip tattaglia strachi cuneo moe greenei want square family account tonight dont tell youre innocent admit,fear
145,L593468,Corleone.,MICHAEL,L593462,L593467,corleone,['corleone'],['corleone'],corleone,fear
24,L593325,The gun will be there.,CLEMENZA,L593324,L593324,gun,['gun'],['gun'],gun,joy
101,L593663,Good.,DON CORLEONE,L593661,L593662,good,['good'],['good'],good,fear
315,L593152,That's not how Pop would have played it.,MICHAEL,L593148,L593151,thats pop played,"['thats', 'pop', 'played']","['thats', 'pop', 'played']",thats pop played,anger
